filename,description
K.G. Subramanyan/seated woman_K.G. Subramanyan.jpg,"a painting of a woman sitting at a table with flowers
"
K.G. Subramanyan/couple_K.G. Subramanyan.jpg,"a painting of two people sitting on a train
"
K.G. Subramanyan/bookshelf_K.G. Subramanyan.jpg,"a drawing of a man and woman in a room
"
K.G. Subramanyan/Studio Table with Figure I _ K.G. Subramanyan.jpg,"a painting of a woman and a man in a room
"
K.G. Subramanyan/womans_K.G. Subramanyan.jpg,"a painting of two women talking to each other
"
K.G. Subramanyan/The King of the Dark Chamber _ K.G. Subramanyan.jpg,"a wall with a large carving of people and animals
"
K.G. Subramanyan/Portrait Gallery _ K.G. Subramanyan.jpg,"a painting of a room with a vase of flowers and a painting of people
"
K.G. Subramanyan/Terrace - II _ K.G. Subramanyan.jpg,"a painting of two people sitting in a pool
"
"K.G. Subramanyan/Man Selling Cock, Two Shirts _ K.G. Subramanyan.jpg","a painting of a man with chickens and a cart
"
K.G. Subramanyan/Still Life _ K.G. Subramanyan.jpg,"a painting of a room with a chair, vase and other items
"
K.G. Subramanyan/woman and man_K.G. Subramanyan.jpg,"a painting of a woman and man in a room
"
K.G. Subramanyan/Studio Still-Life _ K.G. Subramanyan.jpg,"a painting of a room with many people in it
"
K.G. Subramanyan/Fairy Tales From Purva Palli - 3 _ K.G. Subramanya.jpg,"a painting of people and animals in a garden
"
K.G. Subramanyan/terracotta_K.G. Subramanyan.jpg,"a wooden panel with a picture of people on it
"
K.G. Subramanyan/Yellow girl_K.G. Subramanyan.jpg,"a painting of a woman and a goat
"
K.G. Subramanyan/great snow_K.G. Subramanyan.jpg,"a painting of a man and woman with a dog and a cat
"
K.G. Subramanyan/room_K.G. Subramanyan.jpg,"a painting of people in different colors
"
Paresh Maity/Untitled (Boat in the water 3)_Paresh Maity.jpg,"a painting of boats on the water with red sky
"
Paresh Maity/Untitled (Blue Cityscape)_Paresh Maity.jpg,"an abstract painting of a building with blue and yellow colors
"
Paresh Maity/Festival of Colors_Paresh Maity.jpg,"a man sitting on the floor next to a painting
"
Paresh Maity/Germany_Paresh Maity.jpg,"a painting of a city with boats and buildings
"
Paresh Maity/Untitled (Red Cityscape)_Paresh Maity.jpg,"a painting of a town at night with trees and houses
"
Paresh Maity/Untitled (Boat in the water 9)_Paresh Maity.jpg,"a painting of boats on the beach at night
"
Paresh Maity/Autumn Blossoms_Paresh Maity.jpg,"a painting of a tree with branches and mountains
"
Paresh Maity/Venice Impression_Paresh Maity.jpg,"a painting of two women in a room
"
Paresh Maity/Untitled (Boat in the water 10)_Paresh Maity.jpg,"a painting of a boat on the beach at night
"
Paresh Maity/Untitled (Boat in the water 4)_Paresh Maity.jpg,"a painting of a boat on the water with clouds in the background
"
Paresh Maity/Untitled (Boat in the water 8)_Paresh Maity.jpg,"a painting of boats on the ocean with a storm in the background
"
Paresh Maity/Untitled (Boat in the water 7)_Paresh Maity.jpg,"a painting of boats in the water with a sky
"
Paresh Maity/Heidelberg_Paresh Maity.jpg,"a painting of a city with buildings and people
"
Paresh Maity/Untitled (Red and Blue Village)_Paresh Maity.jpg,"an abstract painting with red, blue and green colors
"
Paresh Maity/Heating On_Paresh Maity_.jpg,"an abstract painting of a house with a red roof
"
Paresh Maity/City of Joy_Paresh Maity.jpg,"a painting of a boat on the river with clouds in the background
"
Paresh Maity/Untitled (Yellow House)_Paresh Maity.jpg,"a painting of stairs in a church with a painting of a cat
"
Paresh Maity/Fresh Snow Fall_Paresh Maity.jpg,"a painting of a house at night with a tree in the background
"
Paresh Maity/The Golden Flute_Paresh Maity.jpg,"a painting of two women playing the flute
"
Paresh Maity/Untitled (Boat in the water 5)_Paresh Maity.jpg,"a painting of a boat in the red sea
"
Paresh Maity/Rajasthan Series_Paresh Maity.jpg,"an abstract painting of two women in blue and orange
"
Paresh Maity/Untitled (Boat in the water 6)_Paresh Maity.jpg,"a painting of boats on the beach at night
"
Paresh Maity/Untitled (Boat in the water 2)_Paresh Maity.jpg,"watercolor painting of boats on the water
"
Paresh Maity/The Boatman_Paresh Mait.jpg,"a painting of a tree in the middle of a field
"
Paresh Maity/Untitled (Boat in the water)_Paresh Maity.jpg,"a painting of boats in the water with a dark sky
"
Paresh Maity/Midnight Dream_Paresh Maity.jpg,"a painting of boats in the water with a sky
"
Paresh Maity/Faces of Life_Paresh Maity.jpg,"a painting of a woman with a bird on her head
"
Paresh Maity/aces of Life_Paresh Maity.jpg,"a painting with a woman's face and a bird
"
Paresh Maity/The Mystic City Series_Paresh Maity.jpg,"a painting of boats in the harbor
"
Paresh Maity/Day Breaking_Paresh Maity.jpg,"a painting of a city with many buildings
"
Paresh Maity/Earth and Beyond_Paresh Maity.jpg,"a painting of two women in a room
"
William Kentridge/Learning the Flute.jpeg,"a drawing of a bird in a cage with a clock
"
William Kentridge/Carnets d’Egypte.jpeg,"a black and white photograph of a man sitting on a chair next to a bird
"
William Kentridge/download.jpeg,"the cover of the book william kentridge's 'proposing the field '
"
William Kentridge/Drawing for The Magic Flute.jpeg,"a drawing of a bird on a wheel
"
William Kentridge/Blue Rubrics.jpeg,"three posters with blue words on them
"
William Kentridge/The Head & The Load.jpeg,"a scene from the play, person, by person, at the royal opera house, london, 2018
"
"William Kentridge/I am not me, the horse is not mine.jpeg","the horse is not for sale poster
"
William Kentridge/The Nose.jpeg,"a collage of newspaper and a picture of a horse
"
William Kentridge/Second-Hand Reading.jpeg,"a book with a drawing of a woman on a swing
"
William Kentridge/The Lulu Suite.jpeg,"a drawing of people dancing on newspaper
"
William Kentridge/Medicine Chest.jpeg,"a drawing of pots and pans on a shelf
"
William Kentridge/Thick Time.jpeg,"the shadow of the elephant - the shadow of the elephant
"
William Kentridge/More Sweetly Play the Dance.jpeg,"a painting of people in the rain with a sign that says ""the rain is coming""
"
William Kentridge/Breathe.jpeg,"a white wall with black and white drawings on it
"
"Henri Mattise /Henri_Matisse,_1913,_La_glace_sans_tain_(The_Blue_Window),_oil_on_canvas,_130.8_x_90.5_cm,_Museum_of_Modern_Art.jpg","a painting of a blue room with vases and flowers
"
Henri Mattise /Goldfish_Matisse.jpg,"a painting of a fish tank and plants
"
Henri Mattise /Matisse518.jpg,"a painting of a blue room with a table and flowers
"
Henri Mattise /Zorah_on_the_Terrace.jpg,"a painting of a woman sitting on a table
"
Henri Mattise /Matisse_Conversation.jpg,"a painting of two people sitting in a room
"
Henri Mattise /Matisse_-_Dishes_and_Fruit_(1901).jpg,"a painting of a bowl, jug and fruit on a table
"
Henri Mattise /Matisse.mme-matisse-madras.jpg,"a painting of a woman with a red hat
"
"Henri Mattise /Henri_Matisse,_1913,_Portrait_of_the_Artist_s_Wife,_oil_on_canvas,_146_x_97.7_cm,_Hermitage,_Saint_Petersburg.jpg","a painting of a woman sitting in a chair
"
Henri Mattise /Henri_Matisse_Self-Portrait_in_a_Striped_T-shirt_(1906).jpg,"a painting of a man with a beard and a green face
"
Henri Mattise /Matisse-Open-Window.jpg,"a painting of a window with a view of boats
"
Henri Mattise /Matisse_-_Crockery_on_a_Table_(1900).jpg,"a painting of a table with a pitcher and a silver spoon
"
Henri Mattise /Matisse_-_Fruit_and_Coffeepot_(1898).jpg,"a painting of fruit and a bottle on a table
"
Henri Mattise /Matisse_-_Blue_Pot_and_Lemon_(1897).jpg,"a painting of fruit and vegetables on a window sill
"
"Henri Mattise /Henri_Matisse_-_View_of_Notre_Dame._Paris,_quai_Saint-Michel,_spring_1914.jpg","a painting of a window with a tree in the background
"
Henri Mattise /Matisse_-_Luxembourg_Gardens_(1901).jpg,"a painting of a road with trees and bushes
"
"Henri Mattise /Henri_Matisse,_1902,_Notre-Dame,_une_fin_d_après-midi,_oil_on_paper_mounted_on_canvas,_72.4_x_54.6_cm,_Albright-Knox_Art_Gallery.jpg","a painting of a canal with buildings and people walking by
"
Henri Mattise /Matisse-Woman-with-a-Hat.jpg,"a painting of a woman with a hat on her head
"
Henri Mattise /Matisse_Les_toits.jpg,"a painting of a forest with trees and bushes
"
Henri Mattise /Matisse_Woman_on_a_high_stool.jpg,"a painting of a woman sitting on a stool
"
Henri Mattise /Matisse_Riffian.jpg,"a painting of a man sitting on a chair
"
Henri Mattise /Young_Sailor_II.jpg,"a painting of a man sitting on a chair
"
"Henri Mattise /Henri_Matisse,_1899,_Still_Life_with_Compote,_Apples_and_Oranges,_oil_on_canvas,_46.4_x_55.6_cm,_The_Cone_Collection,_Baltimore_Museum_of_Art.jpg","a painting of a table with a cup and plate of fruit
"
Henri Mattise /Matisse-Luxe.jpg,"a painting of people sitting on the beach
"
"Henri Mattise /Matisse_-_Vase,_Bottle_and_Fruit_(1906).jpg","a painting of a table with fruit and a vase
"
Henri Mattise /Atelier_rouge_matisse_1.jpg,"the interior of the studio by person
"
Henri Mattise /Matisse_-_Vase_of_Sunflowers_(1898).jpg,"a painting of sunflowers in a vase on a table
"
Henri Mattise /Matisse_Mur_Rose.jpg,"a painting of a house on a hill with trees
"
Henri Mattise /Matisse_-_Green_Line.jpeg,"a painting of a woman with a black hat
"
Henri Mattise /Matisse_the_study_of_moreau.jpg,"a painting of a nude man standing in front of a painting
"
Pablo Picasso/Artist_s mother  _ Pablo Picasso.png,"a painting of a woman in a white shirt and black tie
"
Pablo Picasso/The picador _ Pablo Picasso.png,"a painting of a man on a horse with a woman in yellow
"
Pablo Picasso/Head of a Man in El Greco style  _ Pablo Picasso.png,"a painting of a man with a beard and a white shirt
"
Pablo Picasso/Sabartes as decadent poet _ Pablo Picasso.png,"a painting of a man holding a cross and a bird
"
Pablo Picasso/Gypsy in front of Musca  _ Pablo Picasso.png,"a painting of a woman sitting on a hill with a boat in the background
"
Pablo Picasso/Portrait of aunt Pepa _ Pablo Picasso.png,"a painting of an older woman with black hair
"
Pablo Picasso/Self-Portrait _ Pablo Picasso.png,"a painting of a man with a black hair
"
Pablo Picasso/Science and Charity _ Pablo Picasso.png,"a painting of a man laying in bed with two other people
"
Pablo Picasso/Bust of young man  _ Pablo Picasso.png,"a painting of a young man with no shirt on
"
"Pablo Picasso/Alicante, view of boats _ Pablo Picasso.png","boats in the harbor, 1884 | jean-luc nollet | oil painting
"
Pablo Picasso/Portrait of Josep Cardona _ Pablo Picasso.png,"a painting of a man writing at a desk
"
Pablo Picasso/The barefoot girl _ Pablo Picasso.png,"a painting of a young girl sitting in a red dress
"
Pablo Picasso/Picasso with partner _ Pablo Picasso.png,"a drawing of two people in hats and coats
"
Pablo Picasso/Couple walking _ Pablo Picasso.png,"a painting of two people in a park
"
Pablo Picasso/Flower seller _ Pablo Picasso.png,"a painting of people in a park with flowers
"
Pablo Picasso/Quarries _ Pablo Picasso.png,"a painting of a hillside with trees and dirt
"
Pablo Picasso/Harlequin leaning _ Pablo Picasso.png,"a painting of a man in a blue and white checkered suit
"
Pablo Picasso/Longchamp _ Pablo Picasso.png,"a painting of people in white dresses and hats
"
Pablo Picasso/View of Riera de Sant Joan from the window _ Pablo Picasso.png,"a painting of a city street with people walking down it
"
Pablo Picasso/Moulin de la Galette _ Pablo Picasso.png,"a painting of people at a party
"
Pablo Picasso/Advertisement for tavern - Four cats _ Pablo Picasso.png,"a book cover with a man in a suit and a woman in a dress
"
Pablo Picasso/House in the field _ Pablo Picasso.png,"a painting of a house in the countryside
"
Pablo Picasso/First Communion _ Pablo Picasso.png,"a painting of a wedding ceremony with a priest and bride
"
Pablo Picasso/Fairground  _ Pablo Picasso.png,"a painting of people in front of a building
"
Pablo Picasso/The old fisherman _ Pablo Picasso.png,"an old man sitting in a chair with his hands on his knees
"
Pablo Picasso/Embrace _ Pablo Picasso.png,"the kiss by edward henrieche
"
Pablo Picasso/Portrait of Gustave Coquiot _ Pablo Picasso.png,"a painting of a man in a tuxedo sitting in front of a group of people
"
Pablo Picasso/Motherhood  _ Pablo Picasso.png,"a painting of a woman and child sitting on a chair
"
Pablo Picasso/Bullfighters and bull waiting for the next move _ Pablo Picasso.png,"a painting of people in costumes walking down a street
"
Pablo Picasso/Portrait of Petrus Manach _ Pablo Picasso.png,"a painting of a man in a white shirt and red tie
"
Pablo Picasso/Crossind Seine on the upper deck  _ Pablo Picasso.png,"a painting of people on a bridge with a city in the background
"
Pablo Picasso/View of the port of Valencia _ Pablo Picasso.png,"a painting of boats in the water near the shore
"
Pablo Picasso/Evocation (The Bural of Casagemas)  _ Pablo Picasso.png,"the painting shows a scene of people in a field
"
Gustav Klimt/kilimit universivity_gustav lkilimit.jpg,"the woman with the golden hair by gustav klimt
"
Gustav Klimt/death and life_gustav klimt.jpg,"the death of klimt
"
Gustav Klimt/beethoven frieze_gaustav klimit.jpg,"the painting shows a woman and a man in a room
"
Gustav Klimt/nine cartoons_gustav kilmit.jpg,"the woman with the golden hair by gustav klimt
"
Gustav Klimt/on lake attersee_gustav kilimt.jpg,"a painting of a lake with green water
"
Gustav Klimt/lady with fan_gustav klimt.jpg,"a woman with a fan and birds on a yellow background
"
Gustav Klimt/rosebushes_gustav kilimt.jpg,"the tree of life by person
"
Gustav Klimt/avnue to schloss_gustav kilimt.jpg,"the avenue of the trees, kreuzlingen, germany, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person,"
Gustav Klimt/potrait of adle bloc_gustav klimt.jpg,"the gold and black woman by gustav klimt
"
Gustav Klimt/hope 2 _ gustav kilmit.jpg,"the woman with the red dress by gustav klimt
"
Gustav Klimt/schloss kammer_gustav kilimt.jpg,"the house of the windmill by gustav klimt
"
Gustav Klimt/pallas athene_gustavkilimit.jpg,"a painting of a woman in gold and red holding a staff
"
Gustav Klimt/danne_gaustav klimit.jpg,"the woman with the golden hair by gustav klimt
"
Gustav Klimt/the tree of life_gustav kilimt.jpg,"the tree of life by gustav klimt
"
Gustav Klimt/potrait of a lady_gustav kilimit.jpg,"a painting of a woman wearing a scarf
"
Gustav Klimt/sonja kinips _ gustav kilimit.jpg,"a painting of a woman in a pink dress sitting on a chair
"
Gustav Klimt/judith and the head_gustav kilmt.jpg,"the golden woman by gustav klimt
"
Gustav Klimt/chruch in cassone_gustav kilimt.jpg,"the village of the lake by gustav klimt art print
"
Gustav Klimt/the maiden.jpg,"the mother and the daughter by gustav klimt
"
Gustav Klimt/potrait of fritza_gustav kilimt.jpg,"a painting of a woman in a white dress sitting on a chair
"
Gustav Klimt/the three ages_gustav klimt.jpg,"the painting is on display in a room with a black and gold color scheme
"
"A. Ramachandran/achutan-ramachandran-visions-of-ramdev,-song-of-the-shimbul-tree-(diptych).jpg","two paintings depicting people sitting under a tree
"
A. Ramachandran/achutan-ramachandran-untitled (1).jpg,"an oil painting of an old woman with a green shawl
"
A. Ramachandran/achutan-ramachandran-untitled untitled.jpg,"an illustration of a turtle and a bird
"
A. Ramachandran/achutan-ramachandran-untitled-(movement-iv).jpg,"a painting with a red and blue background
"
A. Ramachandran/achutan-ramachandran-untitled (5).jpg,"a painting of a man wearing a turban
"
A. Ramachandran/achutan-ramachandran-portrait-of-a-shy-girl.jpg,"a painting of a woman sitting on the ground
"
A. Ramachandran/achutan-ramachandran-autobiography-of-an-insect-in-the-lotus-pond.jpg,"a blue and white painting with flowers and butterflies
"
A. Ramachandran/achutan-ramachandran-untitled (6).jpg,"a painting of a woman walking in the field
"
